A Goblin standard;Uno standard dei Goblin
The Sheared Ram;L'ariete tranciato
Thingymajig;Thingymajig
Throne space;Spazio del trono
Tomb;Tomba
Tool space;Spazio per gli strumenti
Telescope;Telescopio
The Grotesque Guardians' display;L'esibizione dei Guardiani Grotteschi
Theatre of Blood;Teatro del sangue
Tight-gap;Divario stretto
Tools;Utensili
Teak bench;Panca in teak
Teak birdhouse;Casetta per gli uccelli in teak
Teak wardrobe;Armadio in teak
Teleport space;Spazio di teletrasporto
Temperature gauge;Indicatore di temperatura
Tent;Tenda
Tent wall;Parete della tenda
Thermonuclear Smoke Devil Display;Display del diavolo del fumo termonucleare
Teak feeder;Alimentatore in teak
Teleportation Device;Dispositivo di teletrasporto
Teleportation focus;Focus sul teletrasporto
Temp Stone 4 Zip;Pietra Temp. 4 Cerniera
The Great Expedition;La Grande Spedizione
Thistle;Cardo
Tomb exit;Uscita dalla tomba
Teak;Teak
Teak house;Casa in teak
Teak prize chest;Cassa premio in teak
Tent roof;Tetto della tenda
Tight Gap;Divario stretto
Tent door;Porta della tenda
The Font of Consumption;La fonte del consumo
Thorny bushes;Cespugli spinosi
Throne;Trono
Tomato plant;Pianta di pomodoro
Teleport Platform;Piattaforma di teletrasporto
Teleport hidden;Teletrasporto nascosto
Throne of Weiss;Trono di Weiss
Toadstools;Funghi velenosi
Tomb doors;Porte delle tombe
Teak chest;Cassapanca in teak
Theme space;Spazio tematico
Three;Tre
Tightrope;Fune
Timber defence;Difesa del legno
Tip jar;Barattolo di mancia
Topiary bush;Cespuglio topiaria
Tent pole;Palo della tenda
Tile;Piastrella
Timeline;Cronologia
Teak wall decoration;Decorazione murale in teak
Teleport trap;Trappola per il teletrasporto
Tendrils;Viticci
The Gauntlet;Il guanto di sfida
The Jormungand;Il Jormungand
The jury;La giuria
Till;Fino
Tombstone;Lapide
Topiary space;Spazio topiaria
Terror Snail;Lumaca del terrore
Thana;Thana
The Maiden of Sugadinti;La fanciulla di Sugadinti
Temple door;Porta del tempio
Thick Web;Rete spessa
Thick vine;Vite spessa
Tin bath;Bagno di stagno
Tiny storage unit;Piccolo contenitore
Tithe patch;Toppa della decima
Tomb Door;Porta della tomba
Trap space;Spazio intrappola
Trapdoor table;Tavolo con botola
Travel cart;Carrello da viaggio
Treadmill;Tapis roulant
Tree branch;Ramo di un albero
Toy sink;Lavandino giocattolo
Trashed Patch;Patch cestinata
Troll;Troll
Trolley;Carrello
TzHaar statue;Statua di TzHaar
Uncooking pot;Pentola senza cottura
Tree patch;Toppa dell'albero
Trellis;Traliccio
Unicorn Statue;Statua dell'unicorno
Totem pole;Totem
Toy box;Scatola dei giocattoli
Toy weapons;Armi giocattolo
Treasure space;Spazio del tesoro
Trebuchet;Trabucco
Trough;Attraverso
Tower;Torre
Toy range;Gamma di giocattoli
Track support;Tieni traccia del supporto
Trailblazer rug;Tappeto pioniere
Train cart;Carrello del treno
Treasure chest;Scrigno del tesoro
Tree Door;Porta dell'albero
Tree stump;Ceppo d'albero
Troll ladder;Scala dei troll
Underwall tunnel;Tunnel sotterraneo
Unoccupied Cormorant perch;Pesce persico del cormorano non occupato
Totem;Totem
Toy box space;Spazio nella scatola dei giocattoli
Trapdoor space;Spazio botola
Tree;Albero
Troll Stronghold Portal;Portale della fortezza dei troll
Tunnel wall;Parete del tunnel
Unicorn;Unicorno
Urn;Urna
Treasure room;Stanza del tesoro
Treated patch;Pezza trattata
Twisted Crate;Cassa contorta
Totem Pole;Totem
Toy Stall;Bancarella di giocattoli
Trahaearn Banner;Banner di Trahaearn
Trapdoor;Botola
Trapdoor tunnel;Tunnel con botola
Treasure Trail Statistics;Statistiche del sentiero del tesoro
Unferth's patch;La toppa di Unferth
Unlit candle;Candela spenta
Trawler net;Rete da traino
Tree Stump;Ceppo d'albero
Trophy pedestal;Piedistallo del trofeo
Twigs;Ramoscelli
Two;Due
Underwater Cavern Entrance;Ingresso della caverna sottomarina
Treasure Hunt Fairy House;Casa delle fate della caccia al tesoro
Tribal Statue;Statua tribale
Tripwire;Tripwire
Tropical leaves;Foglie tropicali
Tropical tree;Albero tropicale
Unicorn's head;La testa dell'unicorno
Track;Traccia
Tulips;Tulipani
Twocan;Duecan
TzHaar Flag;Bandiera TzHaar
Undead combat dummy;Manichino da combattimento non morto
Toy corner;Angolo dei giocattoli
Trailblazer globe;Globo pionieristico
Training dummy;Manichino da allenamento
Trap Door;Botola
Tree trunk;Tronco d'albero
Trimmed Yommi;Yommi tagliato
Trophy case space;Spazio per la custodia dei trofei
Twisted Bow;Arco ritorto
Tzkal-Zuk display;Visualizzazione Tzkal-Zuk
Urt salt;Urto sale
Tower door;Porta della torre
Toy bricks;Mattoncini giocattolo
Trap bypass;Bypass della trappola
Tree space;Spazio sull'albero
Trunk;Tronco
Tube;Tubo
Tunnel entrance;Ingresso del tunnel
Unstable Altar;Altare instabile
Transport platform;Piattaforma di trasporto
Trap;Trappola
Trellis top;Parte superiore a traliccio
Treasure chest space;Spazio nel forziere del tesoro
Troll Stew;Stufato di Troll
Tropical Leaves;Foglie tropicali
Tunnel roof;Tetto a tunnel
Tower ladder;Scala a torre
Toy table;Tavolo giocattolo
Tracks;Tracce
Tribal statue;Statua tribale
Trumpet;Tromba
Tunnel;Tunnel
Twisted bush;Cespuglio contorto
Unlocked Ogre chest;Forziere dell'orco sbloccato
Vine patch;Patch di vite
Volcanic theme;Tema vulcanico
Wardrobe;Armadio
Water Tank;Serbatoio dell'acqua
Waterfall rocks;Rocce della cascata
Volcanic Furnace;Fornace vulcanica
Wall decoration;Decorazione murale
Wallchart;Carta da parati
Water containers;Contenitori per l'acqua
Water controls;Controlli dell'acqua
Water's edge;Bordo dell'acqua
Volcanic garden;Giardino vulcanico
Wall;Parete
Wall Pipe;Tubo a muro
Warehouse shelves;Scaffali del magazzino
Waste Paper Bin;Cestino per la carta straccia
Watchtower Legs;Gambe della Torre di Guardia
Water valve;Valvola dell'acqua
Viewer;Spettatore
Vyre well;Va bene
Water Pump;Pompa dell'acqua
Water Trough;Trogolo d'acqua
Valve;Valvola
Vat;I.V.A
Viewing orb;Visualizzazione della sfera
Vines;Viti
Wall rubble;Macerie del muro
Wardrobe space;Spazio guardaroba
Washbasin;Lavabo
Vials;Fiale
Vorkath head;Testa di Vorkath
Wall corner;Angolo del muro
Wall of flame;Muro di fiamme
Waste pipes;Tubi di scarico
Water Sign;Segno d'acqua
Waterbirth Island Portal;Portale dell'isola di Waterbirth
Vault Door;Porta del caveau
Veg stall;Bancarella di verdure
Watchtower;Torre di guardia
Waiting Room Door;Porta della sala d'attesa
Wall Crusher;Frantumatore di muri
Wall opening;Apertura nel muro
Wand rack;Porta bacchette
Washing line;Linea di lavaggio
Water;Acqua
Water Channel;Canale d'acqua
Water pump;Pompa dell'acqua
Water tap;Rubinetto dell'acqua
Vase set;Insieme del vaso
Vent;Sfogo
Village fence;Recinto del villaggio
Warning Sign;Segnale di avvertimento
Watchtower Middle;Centro della Torre di Guardia
Waterfall;Cascata
Vampyre statue;Statua del vampiro
Vault;Volta
Verzik's throne;Il trono di Verzik
Wall safe;Cassaforte a muro
Wall support;Supporto a muro
Water pipes;Tubi dell'acqua
Water rift;Spaccatura dell'acqua
Velvet stool;Sgabello in velluto
Verzik Vitur display;Display Verzik Vitur
Walkway;Passerella
Wall map;Mappa murale
Water Barrel;Barile d'acqua
Water wheel;Ruota idraulica
Utensil Stall;Stalla degli utensili
Velvet round chair;Sedia rotonda in velluto
Verzik Vitur;Verzik Vitur
Volcanic vent;Bocca vulcanica
Volcano Entrance;Ingresso del vulcano
Wall chart;Grafico a muro
Warning sign;Segnale di avvertimento
Water barrel;Barile d'acqua
Waterlily;Ninfea
Vanilla plant;Pianta di vaniglia
Velvet chair;Sedia in velluto
Vine;Vite
Vorkath Topiary;Topiaria da Vorkath
Vorkath display;Visualizzazione Vorkath
Wall of bricks;Muro di mattoni
Water Source;Fonte d'acqua
Water Valve;Valvola dell'acqua
Varrock Portal;Portale Varrock
Vase;Vaso
Veteran Flag;Bandiera dei veterani
Volcanic sulphur;Zolfo vulcanico
Washing Line;Linea di lavaggio
Water Pool;Piscina d'acqua
Watering Hole;Foro di irrigazione
Utensil cupboard;Armadio per utensili
Vampyre tomb;Tomba del vampiro
Vegetable Stall;Bancarella di verdure
Vine ladder;Scaletta di vite
Volcanic Forge;Forgia Vulcanica
Volcanic chamber;Camera vulcanica
Wall chart space;Spazio del grafico a muro
War table;Tavolo di guerra
Warhammer;Warhammer
Weapon Rack;Rastrelliera per armi
Wheel;Ruota
Whipping Plant;Pianta da montare
White tree;Albero bianco
Willow's bag;La borsa di Willow
Wooden Table;Tavolo in legno
Weathervane;Banderuola
Whirlpool;Idromassaggio
Wilderness Ditch;Fosso del deserto
Willow tree;Salice
Wintumber tree;Albero invernale
Witch's charm;Il fascino della strega
Weeping wall;Muro piangente
Werewolf Flag;Bandiera del lupo mannaro
White Knight;Cavaliere Bianco
White rose bush patch;Patch di cespuglio di rose bianche
Wildblood Hops;Luppolo Sangueselvaggio
Willow Tree;Salice
Winch;Verricello
Windswept tree;Albero esposto al vento
Winter's End;Fine dell'inverno
Wizard Statue;Statua del mago
Wooden Beams;Travi in ​​legno
Wooden chest;Cassapanca in legno
Wooden gate;Cancello in legno
Watermelon seed;Seme di anguria
Weapons Rack;Rastrelliera per armi
White Tree;Albero Bianco
Wilf (ghastly!);Wilf (orribile!)
Wilf (very sick);Wilf (molto malato)
Windchimes;Scacciapensieri
Wooden boards;Tavole di legno
Wire;Filo
Weeds;Erbacce
Wheat;Grano
Wish-list;Lista dei desideri
Wood;Legna
Weiss Portal;Portale Weiss
Well stacked rocks;Rocce ben impilate
Wilderness Sign;Segno del deserto
Wilderness Statistics;Statistiche sulla natura selvaggia
Window;Finestra
White Crystal;Cristallo bianco
Willow tree stump;Ceppo di salice
Wilting wheat;Grano appassito
Wooden bench;Panca in legno
Wooden defence;Difesa in legno
Wooden platform;Piattaforma in legno
Weapon rack;Rastrelliera per armi
Web sack;Sacco in rete
Weedy patch;Zona erbosa
Well;BENE
Wilhelm;Guglielmo
Withering Attas plant;Pianta di Attas appassita
Withering Iasor plant;Pianta di Iasor in appassimento
Wizards Mind Bomb;Bomba mentale dei maghi
Wooden Stair;Scala in legno
Wooden chair;Sedia in legno
Wood Basket;Cesto di legno
Willow birdhouse;Casetta per gli uccelli in salice
Willow birdhouse (empty);Casetta per gli uccelli in salice (vuota)
Window space;Spazio finestra
Wire machine;Macchina a filo
Wheely table;Tavolo con ruote
Whetstone;Cote
White lily;Giglio bianco
Withering Kronos plant;Pianta di Kronos che appassisce
Watermelons;Angurie
White crystal;Cristallo bianco
Winch bucket;Benna per verricello
Wine rack;Portabottiglie
Wooden Obstruction;Ostruzione di legno
Wooden cart;Carrello in legno
Wooden fence;Recinzione in legno
Web;Rete
Weiss banner;Stendardo Weiss
West Ardougne Portal;Portale di Ardougne occidentale
Wheelbarrow;Carriola
White roses;Rose bianche
Whiteberry bush;Cespuglio di mirtilli bianchi
Wilf (sick);Wilf (malato)
Wine barrel;Botte di vino
Witch Glyph;Glifo della strega
Wolf Statue;Statua del lupo
Wooden crate;Cassa di legno
Watermelon;Anguria
Weather vane;Banderuola
White Castlewars armour;Armatura bianca di Castlewars
Wilf (Well);Wilf (Bene)
Windswept Tree;Albero spazzato dal vento
Woad plant;Pianta del guado
Woodcutting stump;Ceppo di xilografia
Wooden doors;Porte in legno
Waterpump;Pompa dell'acqua
Waystone;Pietra miliare
Weathered wall;Muro esposto alle intemperie
Wet driftwood;Legni bagnati
White Tree patch;Toppa dell'albero bianco
Willow;Salice
Wooden barricade;Barricata di legno
