A Goblin standard;Goblin-standardi
Symbol of life;Elämän symboli
Table saw;Pöytäsaha
Supporting Pillar;Tukipilari
Swords;Miekat
Tall Reeds;Korkeat Reeds
Strange passage;Outo kulku
Study Desk;Opintopöytä
Super magic potion;Super taikajuoma
Super ranging potion;Huippuluokan juoma
Swamp paste;Suon tahna
Swaying tree;Heiluva puu
Table parts;Pöydän osat
Tactical map frame;Taktinen karttakehys
Strange shrine;Outo pyhäkkö
Strong Yew;Vahva marjakuusi
Sulphur vent;Rikkipoistoaukko
Swamp tree;Suopuu
Swampy sink;Soinen pesuallas
Sweetgrub Mound;Sweetgrub Mound
Structural pillar;Rakenteellinen pilari
Suit of armour;Panssaripuku
Sunken rowboat;Uponnut soutuvene
Sweet;Makea
Sweetcorn seed;Sokerimaissin siemenet
Sword cabinet;Miekkakaappi
Table blockade;Pöydän saarto
Strong Tree;Vahva Puu
Strut;Strut
Supplies;Tarvikkeet
Suspicious footprints;Epäilyttäviä jalanjälkiä
Swamp Boaty;Swamp Boaty
Tall Plant;Korkea kasvi
Tapestry;Kuvakudos
Tea stall;Teekoju
Teak Tree;Tiikkipuu
Telekinetic Teleport;Telekineettinen teleportti
The Cloister Bell;Luostarin kello
The middle of a fireplace;Takan keskelle
Thick vines;Paksut viiniköynnökset
Throne Room Door;Valtaistuimen huoneen ovi
Toadstool;Myrkkysieni
Tomato;Tomaatti
Torture Rack;Kidutusteline
Teak scratching post;Tiikki raapimistolppa
Teak table;Tiikki pöytä
Teleport crystal;Teleport kristalli
Ticket Dispenser;Lippujen jakelulaite
Teak cape rack;Tiikki viittateline
Teak drawers;Tiikki laatikot
Thorns;Piikkejä
Tip jar space;Vihje jar tilaa
Tool Storage;Työkalujen säilytys
Torch;Soihtu
Ten;Kymmenen
Tent flap;Teltan läppä
The Inferno;Inferno
Timber;Puutavara
Tok-Xil;Tok-Xil
Tomb dolmen;Tomb dolmen
Teak birdhouse (empty);teak lintuhuone (tyhjä)
Telescope space;Teleskooppitila
Temple Door;Temppelin ovi
Temple wall;Temppelin seinä
Terminal;Terminaali
The Sheared Ram;Leikattu Ram
Thingymajig;Thingymajig
Throne space;Valtaistuimen tila
Tomb;Hauta
Tool space;Työkalutila
Telescope;Teleskooppi
The Grotesque Guardians' display;Grotesque Guardiansin näyttö
Theatre of Blood;Veren teatteri
Tight-gap;Tiukka väli
Tools;Työkalut
Teak bench;Tiikkipenkki
Teak birdhouse;Teak lintumaja
Teak wardrobe;Tiikki vaatekaappi
Teleport space;Teleporttaa tilaa
Temperature gauge;Lämpötilamittari
Tent;Teltta
Tent wall;Teltan seinä
Thermonuclear Smoke Devil Display;Thermonuclear Smoke Devil Display
Teak feeder;Teak syöttölaite
Teleportation Device;Teleportaatiolaite
Teleportation focus;Teleportaatio keskittyy
Temp Stone 4 Zip;Temp Stone 4 vetoketju
The Great Expedition;Suuri retkikunta
Thistle;Ohdake
Tomb exit;Haudan uloskäynti
Teak;Teak
Teak house;teak talo
Teak prize chest;Tiikki palkintoarkku
Tent roof;Teltan katto
Tight Gap;Tiukka väli
Tent door;Teltan ovi
The Font of Consumption;Kulutuksen kirjasin
Thorny bushes;Oikeita pensaita
Throne;Valtaistuin
Tomato plant;Tomaatti kasvi
Teleport Platform;Teleport-alusta
Teleport hidden;Teleportti piilotettu
Throne of Weiss;Weissin valtaistuin
Toadstools;Myrkkysienet
Tomb doors;Haudan ovet
Teak chest;Tiikki rintakehä
Theme space;Teematila
Three;Kolme
Tightrope;Kireä köysi
Timber defence;Puinen puolustus
Tip jar;Vihje purkki
Topiary bush;Topiary pensas
Tent pole;Telttakeppi
Tile;Laatta
Timeline;Aikajana
Teak wall decoration;Tiikki seinäkoristelu
Teleport trap;Teleport ansa
Tendrils;Lourret
The Gauntlet;Gauntlet
The Jormungand;Jormungand
The jury;Tuomaristo
Till;Till
Tombstone;Hautakivi
Topiary space;Topiary tilaa
Terror Snail;Terror Etana
Thana;Thana
The Maiden of Sugadinti;Sugadintin neito
Temple door;Temppelin ovi
Thick Web;Paksu verkko
Thick vine;Paksu viiniköynnös
Tin bath;Tina kylpy
Tiny storage unit;Pieni säilytysyksikkö
Tithe patch;Kymmenykset laastari
Tomb Door;Haudan ovi
Trap space;Trap tilaa
Trapdoor table;Trapdoor pöytä
Travel cart;Matkakärry
Treadmill;Juoksumatto
Tree branch;Puun oksa
Toy sink;Leluallas
Trashed Patch;Roskakoriin viety korjaustiedosto
Troll;Peikko
Trolley;Kärry
TzHaar statue;TzHaar-patsas
Uncooking pot;Kypsentämätön kattila
Tree patch;Puun paikka
Trellis;Trellis
Unicorn Statue;Yksisarvinen patsas
Totem pole;Toteemipaalu
Toy box;Lelulaatikko
Toy weapons;Lelu-aseita
Treasure space;Aarre tilaa
Trebuchet;Trebuchet
Trough;Kouru
Tower;Torni
Toy range;Leluvalikoima
Track support;Radan tuki
Trailblazer rug;Trailblazer matto
Train cart;Junan kärry
Treasure chest;Aarrearkku
Tree Door;Puun ovi
Tree stump;Puun kanto
Troll ladder;Trolli tikkaat
Underwall tunnel;Tunneli alla
Unoccupied Cormorant perch;Asumaton merimetsoahven
Totem;Toteemi
Toy box space;Lelulaatikkotila
Trapdoor space;Trapdoor tilaa
Tree;Puu
Troll Stronghold Portal;Troll Stronghold -portaali
Tunnel wall;Tunnelin seinä
Unicorn;Yksisarvinen
Urn;Uurna
Treasure room;Aarrehuone
Treated patch;Käsitelty laastari
Twisted Crate;Kierretty laatikko
Totem Pole;Toteemipaalu
Toy Stall;Lelukioski
Trahaearn Banner;Trahaearn Banner
Trapdoor;Trapdoor
Trapdoor tunnel;Luukun tunneli
Treasure Trail Statistics;Treasure Trail -tilastot
Unferth's patch;Unferthin laastari
Unlit candle;Sytymätön kynttilä
Trawler net;Troolarin verkko
Tree Stump;Puun kanto
Trophy pedestal;Trophy jalusta
Twigs;Oksat
Two;Kaksi
Underwater Cavern Entrance;Vedenalaisen luolan sisäänkäynti
Treasure Hunt Fairy House;Treasure Hunt Fairy House
Tribal Statue;Heimopatsas
Tripwire;Ansalanka
Tropical leaves;Trooppiset lehdet
Tropical tree;Trooppinen puu
Unicorn's head;Yksisarvisen pää
Track;Seurata
Tulips;Tulppaanit
Twocan;Twocan
TzHaar Flag;TzHaar lippu
Undead combat dummy;Undead taistelunukke
Toy corner;Lelunurkkaus
Trailblazer globe;Trailblazer-maapallo
Training dummy;Koulutusnukke
Trap Door;Trap Ovi
Tree trunk;Puunrunko
Trimmed Yommi;Leikattu Yommi
Trophy case space;Trophy-kotelotila
Twisted Bow;Kierretty jousi
Tzkal-Zuk display;Tzkal-Zuk näyttö
Urt salt;Urt suolaa
Tower door;Tornin ovi
Toy bricks;Lelu tiilet
Trap bypass;Trap ohitus
Tree space;Puun tila
Trunk;Runko
Tube;Putki
Tunnel entrance;Tunnelin sisäänkäynti
Unstable Altar;Epävakaa alttari
Transport platform;Kuljetusalusta
Trap;Trap
Trellis top;Trellis toppi
Treasure chest space;Aarrearkku tilaa
Troll Stew;Troll Stew
Tropical Leaves;Trooppiset lehdet
Tunnel roof;Tunnelin katto
Tower ladder;Tornin tikkaat
Toy table;Lelupöytä
Tracks;Kappaleet
Tribal statue;Heimopatsas
Trumpet;Trumpetti
Tunnel;Tunneli
Twisted bush;Kierretty pensas
Unlocked Ogre chest;Avattu Ogre-arkku
Vine patch;Vine laastari
Volcanic theme;Vulkaaninen teema
Wardrobe;Vaatekaappi
Water Tank;Vesisäiliö
Waterfall rocks;Vesiputous kiviä
Volcanic Furnace;Vulkaaninen uuni
Wall decoration;Seinän koristelu
Wallchart;Wallchart
Water containers;Vesisäiliöt
Water controls;Veden säätimet
Water's edge;Veden raja
Volcanic garden;Vulkaaninen puutarha
Wall;Seinä
Wall Pipe;Seinäputki
Warehouse shelves;Varaston hyllyt
Waste Paper Bin;Jätepaperisäiliö
Watchtower Legs;Vartiotornin jalat
Water valve;Vesiventtiili
Viewer;Katsoja
Vyre well;Vyre hyvin
Water Pump;Vesipumppu
Water Trough;Vesikouru
Valve;Venttiili
Vat;Alv
Viewing orb;Katsoo palloa
Vines;Viiniköynnöksiä
Wall rubble;Seinämurska
Wardrobe space;Vaatekaappitilaa
Washbasin;Pesuallas
Vials;Injektiopullot
Vorkath head;Vorkathin pää
Wall corner;Seinän kulma
Wall of flame;Liekin seinä
Waste pipes;Jäteputket
Water Sign;Vesi merkki
Waterbirth Island Portal;Waterbirth Island -portaali
Vault Door;Holvin ovi
Veg stall;Vihanneskioski
Watchtower;Vartiotorni
Waiting Room Door;Odotushuoneen ovi
Wall Crusher;Seinämurskain
Wall opening;Seinän aukko
Wand rack;Sauvojen teline
Washing line;Pesulinja
Water;Vesi
Water Channel;Vesi kanava
Water pump;Vesipumppu
Water tap;Vesihana
Vase set;Maljakkosetti
Vent;Tuuletus
Village fence;Kylän aita
Warning Sign;Varoitusmerkki
Watchtower Middle;Vartiotorni Keski
Waterfall;Vesiputous
Vampyre statue;Vampyyri patsas
Vault;Holvi
Verzik's throne;Verzikin valtaistuimelle
Wall safe;Turvallinen seinälle
Wall support;Seinätuki
Water pipes;Vesiputket
Water rift;Vesihalkeama
Velvet stool;Velvet jakkara
Verzik Vitur display;Verzik Vitur -näyttö
Walkway;Kävelytie
Wall map;Seinäkartta
Water Barrel;Vesitynnyri
Water wheel;Vesipyörä
Utensil Stall;Astiavarasto
Velvet round chair;Velvet pyöreä tuoli
Verzik Vitur;Verzik Vitur
Volcanic vent;Tulivuoren tuuletusaukko
Volcano Entrance;Tulivuoren sisäänkäynti
Wall chart;Seinäkaavio
Warning sign;Varoitusmerkki
Water barrel;Vesitynnyri
Waterlily;Lumme
Vanilla plant;Vanilja kasvi
Velvet chair;Velvet-tuoli
Vine;Viini
Vorkath Topiary;Vorkath Topiary
Vorkath display;Vorkathin näyttö
Wall of bricks;Seinä tiilistä
Water Source;Veden lähde
Water Valve;Vesiventtiili
Varrock Portal;Varrockin portaali
Vase;Maljakko
Veteran Flag;Veteraani lippu
Volcanic sulphur;Vulkaaninen rikki
Washing Line;Pesulinja
Water Pool;Vesiallas
Watering Hole;Juomapaikka
Utensil cupboard;Astiakaappi
Vampyre tomb;Vampyyrin hauta
Vegetable Stall;Kasviskioski
Vine ladder;Vine tikkaat
Volcanic Forge;Volcanic Forge
Volcanic chamber;Vulkaaninen kammio
Wall chart space;Seinäkartan tila
War table;Sotapöytä
Warhammer;Warhammer
Weapon Rack;Asehylly
Wheel;Pyörä
Whipping Plant;Piiskatehdas
White tree;Valkoinen puu
Willow's bag;Willow'n laukku
Wooden Table;Puinen pöytä
Weathervane;Tuuliviiri
Whirlpool;Whirlpool
Wilderness Ditch;Erämaan oja
Willow tree;Paju puu
Wintumber tree;Talvipuu
Witch's charm;Noidan viehätys
Weeping wall;Itku seinä
Werewolf Flag;Ihmissusi lippu
White Knight;Valkoinen ritari
White rose bush patch;Valkoinen ruusupensasmerkki
Wildblood Hops;Villiverinen humala
Willow Tree;Pajupuu
Winch;Vinssi
Windswept tree;Tuulinen puu
Winter's End;Talven loppu
Wizard Statue;Velhon patsas
Wooden Beams;Puiset palkit
Wooden chest;Puinen rintakehä
Wooden gate;Puinen portti
Watermelon seed;Vesimelonin siemen
Weapons Rack;Asetelineet
White Tree;Valkoinen Puu
Wilf (ghastly!);Wilf (kammottavaa!)
Wilf (very sick);Wilf (erittäin sairas)
Windchimes;Tuulikellot
Wooden boards;Puiset laudat
Wire;Lanka
Weeds;Rikkaruohot
Wheat;Vehnä
Wish-list;Toivelista
Wood;Puu
Weiss Portal;Weissin portaali
Well stacked rocks;Hyvin pinottuja kiviä
Wilderness Sign;Erämaan merkki
Wilderness Statistics;Erämaatilastot
Window;Ikkuna
White Crystal;Valkoinen kristalli
Willow tree stump;Pajun kanto
Wilting wheat;Kuihtuva vehnä
Wooden bench;Puinen penkki
Wooden defence;Puinen puolustus
Wooden platform;Puinen alusta
Weapon rack;Aseteline
Web sack;Verkkosäkki
Weedy patch;Ruohoinen laastari
Well;Hyvin
Wilhelm;Wilhelm
Withering Attas plant;Kuihtuva Attas-kasvi
Withering Iasor plant;Kuihtuva Iasor-kasvi
Wizards Mind Bomb;Wizards Mind Bomb
Wooden Stair;Puiset portaat
Wooden chair;Puinen tuoli
Wood Basket;Puinen kori
Willow birdhouse;Willow lintumaja
Willow birdhouse (empty);Willow lintuhuone (tyhjä)
Window space;Ikkunatilaa
Wire machine;Lanka kone
Wheely table;Pyöräinen pöytä
Whetstone;Hiomakivi
White lily;Valkoinen lilja
Withering Kronos plant;Kuihtuva Kronos-kasvi
Watermelons;Vesimelonit
White crystal;Valkoinen kristalli
Winch bucket;Vinssin kauha
Wine rack;Viinihylly
Wooden Obstruction;Puinen este
Wooden cart;Puinen kärry
Wooden fence;Puinen aita
Web;Web
Weiss banner;Weissin banneri
West Ardougne Portal;West Ardougne -portaali
Wheelbarrow;Kottikärryt
White roses;Valkoisia ruusuja
Whiteberry bush;Valkomarjan pensas
Wilf (sick);Wilf (sairas)
Wine barrel;Viini tynnyri
Witch Glyph;Witch Glyph
Wolf Statue;Susi patsas
Wooden crate;Puinen laatikko
Watermelon;Vesimeloni
Weather vane;Tuuliviiri
White Castlewars armour;Valkoinen Castlewarsin panssari
Wilf (Well);Wilf (No)
Windswept Tree;Tuulinen Puu
Woad plant;Puukasvi
Woodcutting stump;Puun leikkaava kanto
Wooden doors;Puiset ovet
Waterpump;Vesipumppu
Waystone;Waystone
Weathered wall;Haalistuva seinä
Wet driftwood;Märkä ajopuu
White Tree patch;Valkoinen puumerkki
Willow;Paju
Wooden barricade;Puinen barrikadi
