A Clam Shell;Eine Muschelschale
Tar buckets;Teereimer
Target;Ziel
Tchiki Monkey Nut Bush;Tchiki Affennussstrauch
Te salt;Das Salz
Tea stall;Teestand
Teak;Teak
Teak Tree;Teakbaum
Teak bench;Bank aus Teakholz
Teak birdhouse;Vogelhaus aus Teakholz
Teak birdhouse (empty);Vogelhaus aus Teakholz (leer)
Teak cape rack;Umhangständer aus Teakholz
Teak chest;Truhe aus Teakholz
Teak drawers;Schubladen aus Teakholz
Teak feeder;Futterspender aus Teakholz
Teak house;Teakholzhaus
Teak prize chest;Preistruhe aus Teakholz
Teak scratching post;Kratzbaum aus Teakholz
Teak table;Tisch aus Teakholz
Teak wall decoration;Wanddekoration aus Teakholz
Teak wardrobe;Kleiderschrank aus Teakholz
Telekinetic Teleport;Telekinetischer Teleport
Teleport Platform;Teleport-Plattform
Teleport crystal;Teleport-Kristall
Teleport hidden;Teleport versteckt
Teleport space;Teleportraum
Teleport trap;Teleport-Falle
Teleportation Device;Teleportationsgerät
Teleportation focus;Teleportationsfokus
Telescope;Teleskop
Telescope space;Teleskopraum
Temp Stone 4 Zip;Temp Stone 4 Zip
Temperature gauge;Temperaturanzeige
Temple Door;Tempeltür
Temple door;Tempeltür
Temple wall;Tempelmauer
Ten;Zehn
Tendrils;Ranken
Tent;Zelt
Tent door;Zelttür
Tent flap;Zeltklappe
Tent pole;Zeltstange
Tent roof;Zeltdach
Tent wall;Zeltwand
Terminal;Terminal
Terror Snail;Terrorschnecke
Thana;Thana
The Cloister Bell;Die Klosterglocke
The Font of Consumption;Die Quelle des Konsums
The Gauntlet;Der Handschuh
The Great Expedition;Die große Expedition
The Grotesque Guardians' display;Die Ausstellung der grotesken Wächter
The Inferno;Das Inferno
The Jormungand;Der Jormungand
The Maiden of Sugadinti;Die Jungfrau von Sugadinti
The Sheared Ram;Der geschorene Widder
The jury;Die Jury
The middle of a fireplace;Die Mitte eines Kamins
Theatre of Blood;Theater des Blutes
Theme space;Themenraum
Thermonuclear Smoke Devil Display;Thermonukleare Rauchteufel-Anzeige
Thick Web;Dickes Netz
Thick vine;Dicke Rebe
Thick vines;Dicke Ranken
Thingymajig;Thingymajig
Thistle;Distel
Thorns;Dornen
Thorny bushes;Dornige Büsche
Three;Drei
Throne;Thron
Throne Room Door;Thronsaaltür
Throne of Weiss;Thron von Weiss
Throne space;Thronraum
Ticket Dispenser;Ticketspender
Tight Gap;Enge Lücke
Tight-gap;Enge Lücke
Tightrope;Seil
Tile;Fliese
Till;Bis
Timber;Holz
Timber defence;Holzverteidigung
Timeline;Zeitleiste
Tin bath;Zinnbad
Tiny storage unit;Winzige Aufbewahrungseinheit
Tip jar;Trinkgeldglas
Tip jar space;Platz für das Trinkgeldglas
Tithe patch;Zehnte-Patch
Toadstool;Pilz
Toadstools;Fliegenpilze
Tok-Xil;Tok-Xil
Tomato;Tomate
Tomato plant;Tomatenpflanze
Tomb;Grab
Tomb Door;Grabtür
Tomb dolmen;Grabdolmen
Tomb doors;Grabtüren
Tomb exit;Grabausgang
Tombstone;Grabstein
Tool Storage;Werkzeugaufbewahrung
Tool space;Werkzeugraum
Tools;Werkzeuge
Topiary bush;Formschnittstrauch
Topiary space;Formschnittraum
Torch;Fackel
Torture Rack;Folterständer
Totem;Totem
Totem Pole;Totempfahl
Totem pole;Totempfahl
Tower;Turm
Tower door;Turmtür
Tower ladder;Turmleiter
Toy Stall;Spielzeugstand
Toy box;Spielzeugkiste
Toy box space;Platz für eine Spielzeugkiste
Toy bricks;Spielzeugsteine
Toy corner;Spielzeugecke
Toy range;Spielzeugsortiment
Toy sink;Spielzeugwaschbecken
Toy table;Spielzeugtisch
Toy weapons;Spielzeugwaffen
Track;Schiene
Track support;Track-Unterstützung
Tracks;Spuren
Trahaearn Banner;Trahaearn-Banner
Trailblazer globe;Wegbereiter-Globus
Trailblazer rug;Wegbereiter-Teppich
Train cart;Zugwagen
Training dummy;Trainingspuppe
Transport platform;Transportplattform
Trap;Fangen
Trap Door;Falltür
Trap bypass;Fallenbypass
Trap space;Fallenraum
Trapdoor;Falltür
Trapdoor space;Raum durch eine Falltür
Trapdoor table;Falltürtisch
Trapdoor tunnel;Falltürtunnel
Trashed Patch;Vermüllter Patch
Travel cart;Reisewagen
Trawler net;Trawlernetz
Treadmill;Tretmühle
Treasure Hunt Fairy House;Schatzsuche-Feenhaus
Treasure Trail Statistics;Statistiken zur Schatzsuche
Treasure chest;Schatzkiste
Treasure chest space;Platz in der Schatztruhe
Treasure room;Schatzkammer
Treasure space;Schatzraum
Treated patch;Behandeltes Pflaster
Trebuchet;Trebuchet
Tree;Baum
Tree Door;Baumtür
Tree Stump;Baumstumpf
Tree branch;Ast
Tree patch;Baumbeet
Tree space;Baumplatz
Tree stump;Baumstumpf
Tree trunk;Baumstamm
Trellis;Gitter
Trellis top;Rankgitter oben
Tribal Statue;Stammesstatue
Tribal statue;Stammesstatue
Trimmed Yommi;Getrimmter Yommi
Tripwire;Stolperdraht
Troll;Troll
Troll Stew;Troll-Eintopf
Troll Stronghold Portal;Portal der Trollfestung
Troll ladder;Trollleiter
Trolley;Wagen
Trophy case space;Platz im Trophäenkoffer
Trophy pedestal;Trophäenpodest
Tropical Leaves;Tropische Blätter
Tropical leaves;Tropische Blätter
Tropical tree;Tropischer Baum
Trough;Trog
Trumpet;Trompete
Trunk;Stamm
Tube;Rohr
Tulips;Tulpen
Tunnel;Tunnel
Tunnel entrance;Tunneleingang
Tunnel roof;Tunneldach
Tunnel wall;Tunnelwand
Twigs;Zweige
Twisted Bow;Verdrehter Bogen
Twisted Crate;Verdrehte Kiste
Twisted bush;Verdrehter Busch
Two;Zwei
Twocan;Twocan
TzHaar Flag;TzHaar-Flagge
TzHaar statue;TzHaar-Statue
Tzkal-Zuk display;Tzkal-Zuk-Anzeige
Uncooking pot;Topf auskochen
Undead combat dummy;Untoten-Kampfpuppe
Underwall tunnel;Untermauertunnel
Underwater Cavern Entrance;Eingang zur Unterwasserhöhle
Unferth's patch;Unferths Patch
Unicorn;Einhorn
Unicorn Statue;Einhornstatue
Unicorn's head;Einhornkopf
Unlit candle;Unbeleuchtete Kerze
Unlocked Ogre chest;Oger-Truhe freigeschaltet
Unoccupied Cormorant perch;Unbesetzter Kormoranbarsch
Unstable Altar;Instabiler Altar
Urn;Urne
Urt salt;Urt-Salz
Utensil Stall;Utensilienstand
Utensil cupboard;Utensilienschrank
Valve;Ventil
Vampyre statue;Vampirstatue
Vampyre tomb;Vampirgrab
Vanilla plant;Vanillepflanze
Varrock Portal;Varrock-Portal
Vase;Vase
Vase set;Vasen-Set
Vat;MwSt
Vault;Gewölbe
Vault Door;Tresortür
Veg stall;Gemüsestand
Vegetable Stall;Gemüsestand
Velvet chair;Samtstuhl
Velvet round chair;Runder Stuhl aus Samt
Velvet stool;Samthocker
Vent;Entlüften
Verzik Vitur;Verzik Vitur
Verzik Vitur display;Verzik Vitur-Display
Verzik's throne;Verziks Thron
Veteran Flag;Veteranenflagge
Vials;Fläschchen
Viewer;Zuschauer
Viewing orb;Betrachtungskugel
Village fence;Dorfzaun
Vine;Rebe
Vine ladder;Weinleiter
Vine patch;Weinbeet
Vines;Reben
Volcanic Forge;Vulkanschmiede
Volcanic Furnace;Vulkanofen
Volcanic chamber;Vulkankammer
Volcanic garden;Vulkanischer Garten
Volcanic sulphur;Vulkanischer Schwefel
Volcanic theme;Vulkanisches Thema
Volcanic vent;Vulkanschlot
Volcano Entrance;Vulkaneingang
Vorkath Topiary;Formschnitt von Vorkath
Vorkath display;Vorkath-Anzeige
Vorkath head;Vorkath-Kopf
Vyre well;Vyre gut
Waiting Room Door;Wartezimmertür
Walkway;Gehweg
Wall;Wand
Wall Crusher;Wandbrecher
Wall Pipe;Wandrohr
Wall chart;Wandkarte
Wall chart space;Platz für Wandtafeln
Wall corner;Wandecke
Wall decoration;Wanddekoration
Wall map;Wandkarte
Wall of bricks;Mauer aus Ziegeln
Wall of flame;Flammenwand
Wall opening;Wandöffnung
Wall rubble;Mauerschutt
Wall safe;Wandtresor
Wall support;Wandhalterung
Wallchart;Wandtafel
Wand rack;Zauberstabständer
War table;Kriegstisch
Wardrobe;Kleiderschrank
Wardrobe space;Platz im Kleiderschrank
Warehouse shelves;Lagerregale
Warhammer;Warhammer
Warning Sign;Warnzeichen
Warning sign;Warnschild
Washbasin;Waschbecken
Washing Line;Wäscheleine
Washing line;Wäscheleine
Waste Paper Bin;Papierkorb
Waste pipes;Abfallrohre
Watchtower;Wachturm
Watchtower Legs;Wachturm-Beine
Watchtower Middle;Wachturm-Mitte
Water;Wasser
Water Barrel;Wasserfass
Water Channel;Wasserkanal
Water Pool;Wasserbecken
Water Pump;Wasserpumpe
Water Sign;Wasserzeichen
Water Source;Wasserquelle
Water Tank;Wassertank
Water Trough;Wassertrog
Water Valve;Wasserventil
Water barrel;Wasserfass
Water containers;Wasserbehälter
Water controls;Wasserkontrollen
Water pipes;Wasserleitungen
Water pump;Wasserpumpe
Water rift;Wasserriss
Water tap;Wasserhahn
Water valve;Wasserventil
Water wheel;Wasserrad
Water's edge;Wasserkante
Waterbirth Island Portal;Waterbirth-Inselportal
Waterfall;Wasserfall
Waterfall rocks;Wasserfallfelsen
Watering Hole;Wasserstelle
Waterlily;Seerose
Watermelon;Wassermelone
Watermelon seed;Wassermelonenkerne
Watermelons;Wassermelonen
Waterpump;Wasserpumpe
Waystone;Wegstein
Weapon Rack;Waffenständer
Weapon rack;Waffenständer
Weapons Rack;Waffenständer
Weather vane;Wetterfahne
Weathered wall;Verwitterte Wand
Weathervane;Wetterfahne
Web;Web
Web sack;Websack
Weeds;Unkraut
Weedy patch;Unkrautfleck
Weeping wall;Weinende Wand
Weiss Portal;Weiss-Portal
Weiss banner;Weiss-Banner
Well;Also
Well stacked rocks;Gut gestapelte Steine
Werewolf Flag;Werwolf-Flagge
West Ardougne Portal;West-Ardougne-Portal
Wet driftwood;Nasses Treibholz
Wheat;Weizen
Wheel;Rad
Wheelbarrow;Schubkarre
Wheely table;Rolltisch
Whetstone;Wetzstein
Whipping Plant;Schlaganlage
Whirlpool;Whirlpool
White Castlewars armour;Weiße Castlewars-Rüstung
White Crystal;Weißer Kristall
White Knight;Weißer Ritter
White Tree;Weißer Baum
White Tree patch;Weißer Baum-Patch
White crystal;Weißer Kristall
White lily;Weiße Lilie
White rose bush patch;Weißes Rosenstrauchbeet
White roses;Weiße Rosen
White tree;Weißer Baum
Whiteberry bush;Weißbeerstrauch
Wildblood Hops;Wildbluthopfen
Wilderness Ditch;Wildnisgraben
Wilderness Sign;Wildnisschild
Wilderness Statistics;Wildnisstatistik
Wilf (Well);Wilf (Nun)
Wilf (ghastly!);Wilf (schrecklich!)
Wilf (sick);Wilf (krank)
Wilf (very sick);Wilf (sehr krank)
Wilhelm;Wilhelm
Willow;Weide
Willow Tree;Weidenbaum
Willow birdhouse;Vogelhaus aus Weide
Willow birdhouse (empty);Weidenvogelhaus (leer)
Willow tree;Weidenbaum
Willow tree stump;Weidenbaumstumpf
Willow's bag;Willows Tasche
Wilting wheat;Welkender Weizen
Winch;Winde
Winch bucket;Windenschaufel
Windchimes;Windspiele
Window;Fenster
Window space;Fensterplatz
Windswept Tree;Windgepeitschter Baum
Windswept tree;Windgepeitschter Baum
Wine barrel;Weinfass
Wine rack;Weinregal
Winter's End;Winterende
Wintumber tree;Winterbaum
Wire;Draht
Wire machine;Drahtmaschine
Wish-list;Wunschliste
Witch Glyph;Hexen-Glyphe
Witch's charm;Hexenzauber
Withering Attas plant;Verwelkte Attas-Pflanze
Withering Iasor plant;Verwelkte Iasor-Pflanze
Withering Kronos plant;Verwelkte Kronos-Pflanze
Wizard Statue;Zaubererstatue
Wizards Mind Bomb;Zauberer-Gedankenbombe
Woad plant;Waidpflanze
Wolf Statue;Wolfsstatue
Wood;Holz
Wood Basket;Holzkorb
Woodcutting stump;Holzfällerstumpf
Wooden Beams;Holzbalken
Wooden Obstruction;Hölzernes Hindernis
Wooden Stair;Holztreppe
Wooden Table;Holztisch
Wooden barricade;Holzbarrikade
Wooden bench;Holzbank
Wooden boards;Holzbretter
Wooden cart;Holzwagen
Wooden chair;Holzstuhl
Wooden chest;Truhe aus Holz
Wooden crate;Holzkiste
Wooden defence;Verteidigung aus Holz
Wooden doors;Holztüren
Wooden fence;Holzzaun
Wooden gate;Holztor
Wooden platform;Holzplattform
