A Clam Shell;Une coquille de palourde
Twocan;Deux canettes
TzHaar Flag;Drapeau TzHaar
TzHaar statue;Statue de TzHaar
Tzkal-Zuk display;Affichage Tzkal-Zuk
Uncooking pot;Marmite de cuisson
Undead combat dummy;Mannequin de combat mort-vivant
Underwall tunnel;Tunnel souterrain
Underwater Cavern Entrance;Entrée de la caverne sous-marine
Unferth's patch;Le patch d'Unferth
Unicorn;Licorne
Unicorn Statue;Statue Licorne
Unicorn's head;Tête de licorne
Unlit candle;Bougie éteinte
Unlocked Ogre chest;Coffre d'Ogre débloqué
Unoccupied Cormorant perch;Perche de cormoran inoccupée
Unstable Altar;Autel instable
Urn;Urne
Urt salt;Sel d'Urt
Utensil Stall;Stand d'ustensiles
Utensil cupboard;Armoire à ustensiles
Valve;Soupape
Vampyre statue;Statue de vampire
Vampyre tomb;Tombe des vampires
Vanilla plant;Plante de vanille
Varrock Portal;Portail Varrock
Vase;Vase
Vase set;Ensemble de vases
Vat;T.V.A
Vault;Sauter
Vault Door;Porte du coffre-fort
Veg stall;Étal de légumes
Vegetable Stall;Étal de légumes
Velvet chair;Chaise en velours
Velvet round chair;Chaise ronde en velours
Velvet stool;Tabouret en velours
Vent;Évent
Verzik Vitur;Verzik Vitur
Verzik Vitur display;Présentoir Verzik Vitur
Verzik's throne;Le trône de Verzik
Veteran Flag;Drapeau vétéran
Vials;Flacons
Viewer;Téléspectateur
Viewing orb;Affichage de l'orbe
Village fence;Clôture du village
Vine;Vigne
Vine ladder;Échelle de vigne
Vine patch;Champ de vigne
Vines;Vignes
Volcanic Forge;Forge Volcanique
Volcanic Furnace;Four volcanique
Volcanic chamber;Chambre volcanique
Volcanic garden;Jardin volcanique
Volcanic sulphur;Soufre volcanique
Volcanic theme;Thème volcanique
Volcanic vent;Évent volcanique
Volcano Entrance;Entrée du volcan
Vorkath Topiary;Topiaire Vorkath
Vorkath display;Affichage Vorkath
Vorkath head;Tête de Vorkath
Vyre well;Vyre bien
Waiting Room Door;Porte de la salle d'attente
Walkway;Passerelle
Wall;Mur
Wall Crusher;Concasseur de mur
Wall Pipe;Tuyau mural
Wall chart;Tableau mural
Wall chart space;Espace tableau mural
Wall corner;Coin de mur
Wall decoration;Décoration murale
Wall map;Carte murale
Wall of bricks;Mur de briques
Wall of flame;Mur de flammes
Wall opening;Ouverture du mur
Wall rubble;Décombres de murs
Wall safe;Coffre-fort mural
Wall support;Support mural
Wallchart;Tableau mural
Wand rack;Support de baguette
War table;Tableau de guerre
Wardrobe;Garde-robe
Wardrobe space;Espace garde-robe
Warehouse shelves;Étagères d'entrepôt
Warhammer;Marteau de guerre
Warning Sign;Panneau d'avertissement
Warning sign;Panneau d'avertissement
Washbasin;Lavabo
Washing Line;Ligne de lavage
Washing line;Ligne de lavage
Waste Paper Bin;Corbeille à papier
Waste pipes;Tuyaux d'évacuation
Watchtower;Tour de guet
Watchtower Legs;Jambes de tour de guet
Watchtower Middle;Tour de guet au milieu
Water;Eau
Water Barrel;Baril d'eau
Water Channel;Canal d'eau
Water Pool;Piscine d'eau
Water Pump;Pompe à eau
Water Sign;Signe d'eau
Water Source;Source d'eau
Water Tank;Réservoir d'eau
Water Trough;Abreuvoir
Water Valve;Vanne d'eau
Water barrel;Baril d'eau
Water containers;Conteneurs d'eau
Water controls;Contrôles d'eau
Water pipes;Conduites d'eau
Water pump;Pompe à eau
Water rift;Faille d'eau
Water tap;Robinet d'eau
Water valve;Vanne d'eau
Water wheel;Roue à eau
Water's edge;Au bord de l'eau
Waterbirth Island Portal;Portail de l'île Waterbirth
Waterfall;Cascade
Waterfall rocks;Rochers de cascade
Watering Hole;Point d'eau
Waterlily;Nénuphar
Watermelon;Pastèque
Watermelon seed;Graine de pastèque
Watermelons;Pastèques
Waterpump;Pompe à eau
Waystone;Pierre de passage
Weapon Rack;Porte-armes
Weapon rack;Porte-armes
Weapons Rack;Porte-armes
Weather vane;Girouette
Weathered wall;Mur patiné
Weathervane;Girouette
Web;Internet
Web sack;Sac Web
Weeds;Mauvaises herbes
Weedy patch;Zone de mauvaises herbes
Weeping wall;Mur qui pleure
Weiss Portal;Portail Weiss
Weiss banner;Bannière Weiss
Well;Bien
Well stacked rocks;Des roches bien empilées
Werewolf Flag;Drapeau de loup-garou
West Ardougne Portal;Portail d'Ardougne Ouest
Wet driftwood;Bois flotté mouillé
Wheat;Blé
Wheel;Roue
Wheelbarrow;Brouette
Wheely table;Table à roulettes
Whetstone;Pierre à aiguiser
Whipping Plant;Usine à fouetter
Whirlpool;Tourbillon
White Castlewars armour;Armure blanche Castlewars
White Crystal;Cristal blanc
White Knight;Chevalier Blanc
White Tree;Arbre blanc
White Tree patch;Écusson d'arbre blanc
White crystal;Cristal blanc
White lily;Lys blanc
White rose bush patch;Patch de rosier blanc
White roses;Roses blanches
White tree;Arbre blanc
Whiteberry bush;Buisson de blanchâtre
Wildblood Hops;Houblon sang sauvage
Wilderness Ditch;Fossé sauvage
Wilderness Sign;Signe de désert
Wilderness Statistics;Statistiques sur la nature sauvage
Wilf (Well);Wilf (Eh bien)
Wilf (ghastly!);Wilf (horrible !)
Wilf (sick);Wilf (malade)
Wilf (very sick);Wilf (très malade)
Wilhelm;Guillaume
Willow;Saule
Willow Tree;Saule
Willow birdhouse;Nichoir en saule
Willow birdhouse (empty);Nichoir en saule (vide)
Willow tree;Saule
Willow tree stump;Souche de saule
Willow's bag;Le sac de Willow
Wilting wheat;Blé flétri
Winch;Treuil
Winch bucket;Godet de treuil
Windchimes;Carillons éoliens
Window;Fenêtre
Window space;Espace fenêtre
Windswept Tree;Arbre balayé par le vent
Windswept tree;Arbre balayé par le vent
Wine barrel;Tonneau à vin
Wine rack;Casier à vin
Winter's End;La fin de l'hiver
Wintumber tree;Arbre d'hiver
Wire;Fil
Wire machine;Machine à fil
Wish-list;Liste de souhaits
Witch Glyph;Glyphe de sorcière
Witch's charm;Le charme de la sorcière
Withering Attas plant;Plante Attas flétrie
Withering Iasor plant;Plante Iasor flétrie
Withering Kronos plant;Plante Kronos flétrie
Wizard Statue;Statue de sorcier
Wizards Mind Bomb;Bombe mentale des sorciers
Woad plant;Usine de pastel
Wolf Statue;Statue de loup
Wood;Bois
Wood Basket;Panier en bois
Woodcutting stump;Souche de coupe de bois
Wooden Beams;Poutres en bois
Wooden Obstruction;Obstruction en bois
Wooden Stair;Escalier en bois
Wooden Table;Table en bois
Wooden barricade;Barricade en bois
Wooden bench;Banc en bois
Wooden boards;Planches de bois
Wooden cart;Chariot en bois
Wooden chair;Chaise en bois
Wooden chest;Coffre en bois
Wooden crate;Caisse en bois
Wooden defence;Défense en bois
Wooden doors;Portes en bois
Wooden fence;Clôture en bois
Wooden gate;Portail en bois
Wooden platform;Plateforme en bois
